state,unemployment,year,Population,violent total,Murder,rape,Robbery,Aggravated assault,property total,Burglary,Larceny theft,vehicle theft
AL,6.808,1976,3665000,388.8,15.1,21.7,96,256,3419.5,1170,1987.2,262.3
AL,7.325,1977,3690000,414.4,14.2,25.2,96.8,278.3,3298.2,1135.5,1881.9,280.7
AL,6.380,1978,3742000,419.1,13.3,25.5,99.1,281.2,3519.7,1229.3,1987.9,302.5
AL,7.158,1979,3769000,413.3,13.2,27.5,109.5,263.1,3830.5,1287.3,2223.2,320.1
AL,8.867,1980,3861466,448.5,13.2,30,132.1,273.2,4485.1,1526.7,2642.2,316.2
AL,10.542,1981,3916000,470.5,11.9,26.1,126.5,306.1,4428.3,1450.7,2693.3,284.2
AL,14.100,1982,3943000,447.7,10.6,26,112,299.1,4185.8,1256.2,2656.4,273.3
AL,13.808,1983,3959000,416,9.2,23.5,98.4,284.9,3685,1073.1,2381.4,230.5
AL,11.008,1984,3990000,431.2,9.4,25.1,96.1,300.6,3470.9,1001.8,2235.5,233.6
AL,9.167,1985,4021000,457.5,9.8,26.8,105.4,315.5,3484.6,1034.9,2191.2,258.5
AL,9.700,1986,4053000,558,10.1,28.4,111.6,407.9,3730.3,1159,2304.4,267
AL,8.083,1987,4083000,559.2,9.3,27.8,112.2,409.9,3892.2,1198.3,2431.1,262.8
AL,7.208,1988,4127000,558.6,9.9,29.8,117.8,401.2,4003.1,1233.8,2502.6,266.7
AL,7.042,1989,4118000,590.8,10.2,31,133.9,415.7,4037,1146.8,2592.8,297.5
AL,6.767,1990,4040587,708.6,11.6,32.6,143.7,520.7,4206.7,1103.4,2755.4,347.8
AL,7.342,1991,4089000,844.2,11.5,35.6,152.8,644.4,4521.4,1268.6,2889.5,363.4
AL,7.567,1992,4136000,871.7,11,41.2,164.9,654.6,4396.4,1186,2848.2,362.3
AL,7.333,1993,4187000,780.4,11.6,35.1,159.5,574.3,4098.4,1088.6,2672,337.8
AL,6.217,1994,4219000,683.7,11.9,35.2,171.2,465.3,4219.4,1044.4,2843.1,331.8
AL,5.975,1995,4253000,632.4,11.2,31.7,185.8,403.7,4215.7,1024.8,2844.3,346.6
AL,5.233,1996,4273000,565.4,10,33,167,356,4254.7,1002.1,2886.7,366
AL,4.992,1997,4319000,564.5,9.9,32.3,160.5,361.8,4325.3,1013.8,2954.8,356.7
AL,4.408,1998,4352000,512.1,8.1,33.2,130.9,339.9,4085,964.3,2779,341.7
AL,4.733,1999,4369862,490.2,7.9,34.6,121.2,326.5,3922.3,884.4,2737.3,300.6
AL,4.583,2000,4447100,486.2,7.4,33.3,128.2,317.2,4059.7,906.9,2864.8,288
AL,5.125,2001,4468912,438.2,8.5,30.6,125,274.1,3876.8,909.4,2685,282.4
AL,5.900,2002,4478896,445,6.8,37.2,133.1,268,4027.8,950.6,2767,310.1
AL,6.017,2003,4503726,429.2,6.6,36.8,134.1,251.7,4046.4,960.2,2754.1,332.1
AL,5.683,2004,4525375,427,5.6,38.5,133.5,249.4,4029.3,987,2732.4,309.9
AL,4.492,2005,4548327,433,8.2,34.4,141.7,248.3,3900,955.8,2656,289
AL,4.033,2006,4599030,425.2,8.3,35.8,153.6,227.5,3941,973.7,2640.8,326.5
AL,3.983,2007,4627851,448.9,8.9,33.4,159.9,246.7,3977.7,980.6,2689.5,307.7
AL,5.658,2008,4661900,452.8,7.5,34.7,157.6,253,4084.5,1081.3,2714.3,288.9
AL,11.033,2009,4708708,450.1,6.8,31.9,133.1,278.3,3780.4,1037.3,2507.5,235.5
AL,10.542,2010,4785401,383.7,5.7,28.3,101.6,248,3528,887.8,2414.9,225.3
AL,9.642,2011,4803689,419.8,6.2,28.5,102.1,282.9,3605.4,1064.2,2319.3,222
AL,7.942,2012,4817528,450.3,7.1,26.9,104.2,312.1,3505.5,985.6,2314.9,205
AL,7.217,2013,4833996,431,7.2,30,96.1,285.2,3347.9,877.3,2252,218.5
AL,6.783,2014,4849377,427.4,5.7,29.6,96.9,283.4,3177.6,819,2149.5,209.1
AK,7.608,1976,382000,540.1,11.3,46.9,124.9,357.1,5680.6,1218.1,3656.8,805.8
AK,9.875,1977,407000,443.2,10.8,51.6,96.8,284,5454.8,1331.7,3369.8,753.3
AK,10.683,1978,403000,441.9,12.9,55.6,91.3,282.1,5604.2,1339.2,3603.5,661.5
AK,9.317,1979,406000,491.1,13.3,71.9,109.6,296.3,5712.6,1383.3,3713.3,616
AK,9.625,1980,440142,436,8.9,56.8,81.8,288.5,5209.7,1259.8,3388.9,561
AK,9.383,1981,412000,615.8,14.6,102.2,114.6,384.5,5979.1,1329.9,3958.7,690.5
AK,9.942,1982,438000,623.7,18.5,85.4,133.8,386.1,5588.8,1188.1,3806.4,594.3
AK,9.975,1983,479000,613.8,13.8,101.5,97.1,401.5,5404.8,1194.2,3566.8,643.8
AK,9.867,1984,500000,621.6,11.6,91.6,109.4,409,5493.6,1236.8,3628,628.8
AK,9.717,1985,521000,581.8,9.8,77.2,92.9,401.9,5295.2,1191.7,3497.1,606.3
AK,10.95,1986,534000,570.4,8.6,72.7,88,401.1,5675.5,1161.8,3909.9,603.7
AK,10.283,1987,525000,455.4,10.1,65,73.1,307.2,4922.1,970.1,3465.7,486.3
AK,8.808,1988,513000,522.8,5.7,57.7,72.9,386.5,4398.8,842.3,3101.6,455
AK,7.033,1989,527000,497.7,8,52.9,67.6,369.3,4282.2,826.9,3000.2,455
AK,7.242,1990,550043,524.5,7.5,72.9,76.7,367.4,4628.2,894.3,3168.5,565.4
AK,8.475,1991,570000,613.9,7.4,91.8,113.2,401.6,5087.7,979.3,3574.6,533.9
AK,8.933,1992,587000,660.5,7.5,98.6,109,445.3,4909,880.7,3531.2,497.1
AK,7.692,1993,599000,760.8,9,83.8,122.4,545.6,4807.2,816.9,3539.4,450.9
AK,7.608,1994,606000,766.3,6.3,69,146.2,544.9,4941.7,800,3601.3,540.4
AK,7.325,1995,604000,770.9,9.1,80.3,155.1,526.3,4982.9,836.9,3624.3,521.7
AK,7.608,1996,607000,727.7,7.4,65.6,117,537.7,4722.7,843.2,3386.7,492.9
AK,7.15,1997,609000,701.1,8.9,66.2,106.4,519.7,4571.4,702.1,3412.2,457.1
AK,6.358,1998,614000,653.9,6.7,68.6,86.6,492,4123.1,667.4,3031.1,424.6
AK,6.475,1999,619500,630.8,8.4,83.5,91.4,447.6,3728.7,611.3,2688.3,429.1
AK,6.375,2000,626932,566.9,4.3,79.3,78.2,405.1,3682.5,621.9,2685.8,374.8
AK,6.433,2001,633630,589.5,6.2,79.1,81.1,423.1,3655.1,607.1,2634.8,413.2
AK,7.292,2002,641482,565.4,5.1,79.7,76.2,404.4,3759.7,609.2,2765.3,385.2
AK,7.825,2003,648280,598,6,93.3,68.8,429.9,3761.6,597.6,2784.4,379.6
AK,7.458,2004,657755,632.3,5.6,84.8,68,473.9,3370.9,573.6,2456.7,340.6
AK,6.883,2005,663253,632,4.8,81.1,81,465.4,3615,622.8,2601,391
AK,6.617,2006,670053,688,5.4,76.4,89.5,516.7,3578.1,620.1,2579.5,378.5
AK,6.333,2007,683478,661.3,6.3,79.7,85,490.3,3379.2,546.3,2476.9,356
AK,6.692,2008,686293,652.1,3.9,65.1,94,489,2927.3,471.7,2218.4,237.2
AK,7.742,2009,698473,633.4,3.1,73.4,93.6,463.2,2940.4,515.4,2183.5,241.5
AK,7.883,2010,714146,635.3,4.3,74.6,83.2,473.2,2836.8,434.8,2175.3,226.7
AK,7.592,2011,723860,610.1,4.1,60.2,79.6,466.1,2637.8,394,2052.1,191.7
AK,7.142,2012,730307,604.1,4.1,79.8,86.3,433.9,2743.6,403.9,2131.3,208.4
AK,6.992,2013,737259,638.7,4.6,89.1,84.5,424.1,2877,395.7,2251.4,229.9
AK,6.875,2014,736732,635.8,5.6,75.3,85.4,440.2,2760,427.6,2096.4,236
AZ,9.75,1976,2270000,455.3,7.8,29.7,129.9,287.9,7431.1,2366.6,4642.7,421.8
AZ,8.208,1977,2296000,494.2,9.5,34.2,138.2,312.3,7253,2346.1,4467.4,439.5
AZ,6.042,1978,2354000,552.1,9.4,44.2,162.9,335.6,7051.7,2082.5,4504.8,464.4
AZ,5.067,1979,2450000,593,8.9,45.7,175.7,362.6,7264.4,1996.6,4774.5,493.3
AZ,6.642,1980,2715357,650.9,10.3,45.2,193.6,401.8,7519.9,2155.4,4891.2,473.3
AZ,6.233,1981,2793000,575.8,8.1,38.1,177.6,352,7038.1,2064.3,4563.9,410
AZ,10.083,1982,2860000,517,8.3,38.5,158.6,311.6,6614,1883.3,4360.9,369.8
AZ,8.825,1983,2963000,494.2,7.2,41.9,132.4,312.7,5897.4,1668.6,3871.8,357
AZ,5.192,1984,3053000,516.1,7.8,43.1,131.1,334.1,5983.3,1714,3884.8,384.5
AZ,6.325,1985,3187000,602.5,8,45.7,146.5,402.3,6513.7,1869.6,4258.6,385.5
AZ,6.9,1986,3317000,658.3,9.3,43,169.2,436.8,6663.1,1907.7,4336.6,418.8
